,node,eign,closeness,betwness,centrality,community,density
219,1411,5.0276108259829255e-06,0.31537019681349576,1.5358298187227058e-06,9,0,0.5505425471159338
346,1710,6.395064833128193e-06,0.3158141717503519,9.499345306384709e-07,14,0,0.5505425471159338
343,1700,8.410634634188692e-06,0.3153455681374463,9.578104382207916e-07,16,0,0.5505425471159338
371,1771,9.269661011856922e-06,0.31541946570848306,2.3536499687800339e-07,20,0,0.5505425471159338
311,1618,8.139319929934273e-05,0.3349647449191207,0.00016296465008238924,22,0,0.5505425471159338
160,1278,1.4875525588771623e-05,0.3163337250293772,4.6282586808337805e-06,34,0,0.5505425471159338
267,1532,1.8962128786703835e-05,0.31588828913400613,8.076758992391745e-07,39,0,0.5505425471159338
263,1524,2.0324903301648274e-05,0.315937720053204,1.0501365399305038e-06,41,0,0.5505425471159338
195,1365,2.1617451916903472e-05,0.315962441314554,9.18721322512993e-07,42,0,0.5505425471159338
289,1572,1.8295733558340194e-05,0.31598716644494873,8.66399329727291e-07,43,0,0.5505425471159338
169,1293,2.6363826614599684e-05,0.31611085016439644,9.447139540685118e-07,48,0,0.5505425471159338
61,1054,2.2097161091703875e-05,0.3167804189220993,7.707404586048064e-06,50,0,0.5505425471159338
80,1092,2.477323999358559e-05,0.3161603507673035,4.109845650682249e-06,50,0,0.5505425471159338
272,1540,5.144081902302202e-05,0.33510373443983404,0.00042207105788746375,53,0,0.5505425471159338
86,1112,2.3725811007387763e-05,0.31625939849624063,2.173670331217794e-06,54,0,0.5505425471159338
354,1724,2.3581781030280628e-05,0.31690472453304036,1.0807656427778716e-05,56,0,0.5505425471159338
85,1110,2.633066354004189e-05,0.31760264275601696,3.601318837217043e-05,63,0,0.5505425471159338
187,1340,2.8173259653024196e-05,0.3164824829532095,1.8827266537927799e-06,63,0,0.5505425471159338
425,1877,3.0306018647341772e-05,0.31650728954381563,2.611645337128327e-06,63,0,0.5505425471159338
49,1028,6.212965653059242e-05,0.3344653358734366,0.00024093259542618542,66,0,0.5505425471159338
262,1523,5.6556599166578154e-05,0.334520752216055,0.00026361548465183085,66,0,0.5505425471159338
324,1644,2.8944255228714647e-05,0.3171536286522149,1.2871420474488304e-05,68,0,0.5505425471159338
383,1796,3.543224896458926e-05,0.3166810446239511,3.064959011171818e-06,71,0,0.5505425471159338
270,1538,3.320660271787926e-05,0.31670588235294117,7.68083687455508e-06,72,0,0.5505425471159338
199,1375,3.3864215888380896e-05,0.31675556950109823,3.6969063565672142e-06,74,0,0.5505425471159338
327,1653,3.512469605037111e-05,0.31675556950109823,2.530122438115056e-06,74,0,0.5505425471159338
135,1209,3.394763496334783e-05,0.31732809430255404,8.5338615888316e-06,75,0,0.5505425471159338
38,999,4.022157564673992e-05,0.3168301294625343,4.86100212527863e-06,76,0,0.5505425471159338
71,1075,3.234218373296446e-05,0.3182785528493734,3.9927811149748016e-05,76,0,0.5505425471159338
4,906,3.442325383812345e-05,0.3173779768922424,1.0622038567008325e-05,77,0,0.5505425471159338
271,1539,4.002710415913473e-05,0.31687985560699994,3.592560292663256e-06,78,0,0.5505425471159338
319,1632,3.9543034589942554e-05,0.31687985560699994,6.288987254064617e-06,78,0,0.5505425471159338
59,1049,3.521850421845128e-05,0.317827626918536,4.390394508075172e-05,79,0,0.5505425471159338
359,1737,3.8483165024105096e-05,0.31687985560699994,2.9163976561401587e-06,79,0,0.5505425471159338
16,934,4.483806310377209e-05,0.31695447409733124,8.218840871434622e-06,80,0,0.5505425471159338
326,1652,3.629174713961948e-05,0.3169295973628444,4.993381178881161e-06,80,0,0.5505425471159338
328,1659,3.866782252690152e-05,0.31695447409733124,4.09299347521169e-06,82,0,0.5505425471159338
126,1198,4.323407986456423e-05,0.3169793547374205,2.311529202203818e-06,83,0,0.5505425471159338
20,952,4.567989667788873e-05,0.31700423928403204,2.289767508943939e-06,84,0,0.5505425471159338
340,1688,3.8250322745291147e-05,0.3368930418821959,0.0005501599322316148,85,0,0.5505425471159338
94,1128,4.55862217266502e-05,0.3191842542091534,0.00010052596424715297,86,0,0.5505425471159338
167,1290,3.8887086687893614e-05,0.31760264275601696,1.366044222525689e-05,86,0,0.5505425471159338
395,1819,4.1316285927456376e-05,0.31710381655410713,9.329677447269056e-06,87,0,0.5505425471159338
118,1181,4.482245693290444e-05,0.3171287206471374,4.165131909985946e-06,89,0,0.5505425471159338
382,1795,4.231120354114659e-05,0.3171287206471374,5.144556270528824e-06,89,0,0.5505425471159338
189,1344,4.0633566861957204e-05,0.3177025963808025,1.2939703942315852e-05,90,0,0.5505425471159338
145,1242,4.273408671029638e-05,0.31775259678942397,1.150637463900528e-05,92,0,0.5505425471159338
40,1003,4.200190753342684e-05,0.3172782273905869,1.8702533788041903e-05,94,0,0.5505425471159338
186,1339,4.733151002011752e-05,0.3174029240685427,1.250538852893423e-05,99,0,0.5505425471159338
316,1623,4.861674067077746e-05,0.3174029240685427,6.644099895747333e-06,100,0,0.5505425471159338
323,1643,5.132994046928752e-05,0.3174029240685427,5.535110771185494e-06,100,0,0.5505425471159338
